Data Upload? (Initial),Processed By,Date Planted,Planter Type,Collection Site,Collection Date,Species,Tag ID,Condition,Mass (g),Width (mm),total length (cm),plumule length (cm),hypocotyl length (cm),Hypocotyl Color,Roots (Y/N),Float (Y/N),NOTES,"Part of Something       (C=Community Event, N=nothing, E=experiment, MIC=mangroves in the classroom or storm strong plant)",Plant Name
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,78,S,14.2,10.51,26.7,1.2,25.6,OlGr,Y,N,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,79,S,10.16,9.67,23,1,21.8,BrGr,Y,N,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,80,H,9,9.8,19.7,0.9,18.6,Br,Y,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,81,H,5.38,7.95,16.1,0.9,16,BrGr,Y,N,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,82,S,17.59,10.62,31.6,1.6,30.2,BrGr,Y,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,83,S,11.7,9.53,25.6,NA,25,BrGr,Y,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,84,S,14,10.2,24.4,1.5,22.9,OlGr,Y,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,85,S,8,8.44,22.2,1.4,20.7,OlGr,Y,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,86,H,12.4,10.5,24.6,1.2,23.3,OlGr,Y,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,87,H,26.89,12.63,34.3,1.6,32.5,OlGr,Y,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,88,S,7.44,9.26,18.1,1,17.1,OlGr,Y,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,89,S,6.36,8.18,18.3,0.2,17.9,BrGr,Y,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,90,H,15.08,10.33,26.8,1.5,25.4,OlGr,Y,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,91,S,15.06,11.34,26,1.7,26,BrGr,Y,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,92,S,11.06,10.07,22.5,1.1,21.4,BrGr,Y,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,93,S,7.32,8.17,22.1,0.7,22,BrGr,Y,Y,,N,
